,코디,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
169,댄디,컬러포인트,남친룩,꾸안꾸,캠퍼스,워싱,가을,캐주얼,피스메이커,후아유,퀄리티 퍼포먼스,플랙,푸마,라퍼지스토어,비니,메신저크로스 백,반소매 티셔츠,긴소매 티셔츠,데님 팬츠,캔버스단화,카디건,기타 시계,사파리헌팅 재킷,,
173,댄디,레이어드룩,레더,남친룩,데이트,뉴트럴톤,소개팅,가을,댄디,블루엘리펀트,수아레,파인드카푸어,토마스모어,시그니처,컬러콜라,라퍼지스토어,안경,니트스웨터,숄더백,슈트 팬츠슬랙스,부츠,,,,
177,댄디,캐주얼,제이다울,슬로코스터,유니폼브릿지,필루미네이트,캔버스단화,메신저크로스 백,맨투맨스웨트셔츠,데님 팬츠,안경,셔츠블라우스,,,,,,,,,,,,,
188,댄디,봄,댄디,데이빗스톤,엑스피어,모드나인,캘빈클라인,슬로우스탠다드,로파이,구두,벨트,데님 팬츠,쿼츠 아날로그,니트스웨터,레더라이더스 재킷,,,,,,,,,,
190,댄디,린넨,아메카지,체크,여름,아메리칸 캐주얼,와일드 브릭스,유니드가먼츠,테바,라퍼지스토어,지갑머니클립,벨트,셔츠블라우스,슬리퍼,코튼 팬츠,,,,,,,,,,
196,댄디,편안한,컬러블록,원마일웨어,로고플레이,가을,캐주얼,아디다스,파르티멘토,1993스튜디오,소니,디파이클럽로버스,패션스니커즈화,반소매 티셔츠,기타 아우터,기타 상의,헤드폰,케이스슬리브,트레이닝조거 팬츠,,,,,,
198,댄디,봄,댄디,닥터마틴,랩12,엘무드,일꼬르소,헤지스 맨 액세서리,구두,셔츠블라우스,피케카라 티셔츠,안경,토트백,지갑머니클립,,,,,,,,,,,
208,댄디,그래픽,봄,캐주얼,어나더유스,미나브,이벳필드,마샬,리복,목걸이펜던트,슈트 팬츠슬랙스,반소매 티셔츠,헤드폰,패션스니커즈화,,,,,,,,,,,
212,댄디,캐주얼,애끼,무신사 스탠다드,커버낫,하 아카이브,비슬로우,컨버스,팔찌,양말,반지,반소매 티셔츠,메신저크로스 백,숏 팬츠,,,,,,,,,,,
213,댄디,댄디,꼼파뇨,위더로드,미나브,피스워커,사르토르 리사르투스,반소매 티셔츠,카디건,구두,로퍼,데님 팬츠,겨울 싱글 코트,장갑,,,,,,,,,,,
215,댄디,봄,캐주얼,카시오,컨버스,모디파이드,애드오프,리,47브랜드,디지털,미니스커트,캔버스단화,기타 시계,슈트 팬츠슬랙스,안경 소품,맨투맨스웨트셔츠,캡야구 모자,,,,,,,,
220,댄디,겨울,스트릿,프로스펙스,파르티멘토,듀테로,오버도스,노스페이스,숏패딩숏헤비 아우터,후드 티셔츠,트레이닝조거 팬츠,캡야구 모자,,,,,,,,,,,,,
225,댄디,봄,댄디,후러브스아트,발렌티노 루디,오니츠카타이거,예일,오버다인,슈트 팬츠슬랙스,안경 소품,쿼츠 아날로그,반려동물용품,미디스커트,반소매 티셔츠,메신저크로스 백,,,,,,,,,,
242,댄디,캐주얼,네이키드니스,페플,반스,낫포너드,커버낫,메신저크로스 백,기타 컬처,트러커 재킷,비니,캔버스단화,트레이닝조거 팬츠,안경 소품,맨투맨스웨트셔츠,,,,,,,,,,
245,댄디,캠퍼스,레더,와이드핏,꾸안꾸,오버핏,콜라보,가을,캐주얼,컨버스,매스노운,마하그리드,라퍼지스토어,플랙,토마스모어,메신저크로스 백,캡야구 모자,맨투맨스웨트셔츠,데님 팬츠,숏패딩숏헤비 아우터,,,,,
254,댄디,미니멀,루즈핏,봄,포멀,후러브스아트,집시,베드포드일레븐스,로얄런던시계,로맨틱무브,슈트 팬츠슬랙스,안경 소품,셔츠블라우스,반소매 티셔츠,백팩,쿼츠 아날로그,구두,로퍼,,,,,,,
