,코디,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
27,포멀,핀턱,뉴트럴톤,레더,격식,출근룩,단정한,가을,포멀,라퍼지스토어,테이크이지,로스트가든,탄틴,아르반,로만손,겨울 싱글 코트,니트스웨터,구두,브리프케이스,셔츠블라우스,슈트 팬츠슬랙스,쿼츠 아날로그,
40,포멀,봄,포멀,모디파이드,엘무드,조셉트,로우로우,에스피오나지,슈트블레이저 재킷,기타 시계,반소매 티셔츠,니트스웨터,구두,안경,셔츠블라우스,,,,,,,,
48,포멀,와이드핏,출근룩,단정한,미니멀,레더,가을,포멀,로맨틱무브,테이크이지,미나브,드로우핏,하이드아웃,구두,니트스웨터,슈트 팬츠슬랙스,토트백,겨울 싱글 코트,,,,,
51,포멀,미니멀,루즈핏,봄,포멀,후러브스아트,집시,베드포드일레븐스,로얄런던시계,로맨틱무브,슈트 팬츠슬랙스,안경 소품,셔츠블라우스,반소매 티셔츠,백팩,쿼츠 아날로그,구두,로퍼,,,,,
62,포멀,봄,캐주얼,라퍼지스토어,다이아몬드 레이라,나이키,엠프렌즈,모티패스트,이에스엔,안경 소품,디퓨저캔들,반소매 티셔츠,셔츠블라우스,패션스니커즈화,케이스슬리브,캡야구 모자,레더라이더스 재킷,맨투맨스웨트셔츠,,,,,
72,포멀,봄,캐주얼,파르티멘토,반스,벗딥,커버낫,목걸이펜던트,캔버스단화,메신저크로스 백,코튼 팬츠,반소매 티셔츠,,,,,,,,,,,
74,포멀,데이트,그래픽,레이어드룩,가을,댄디,엘무드,뮤지엄바이비컨,테이크이지,로스트가든,아르반,플랙,누깍,반소매 티셔츠,니트스웨터,안경,셔츠블라우스,부츠,블루종MA1,데님 팬츠,숄더백,,
87,포멀,핀턱,뉴트럴톤,레더,격식,출근룩,단정한,가을,포멀,라퍼지스토어,테이크이지,로스트가든,탄틴,아르반,로만손,겨울 싱글 코트,니트스웨터,구두,브리프케이스,셔츠블라우스,슈트 팬츠슬랙스,쿼츠 아날로그,
