,코디,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,스트릿,봄,스트릿,제로,월간,라퍼지스토어,키치오브제,블론드나인,47브랜드,트레이닝조거 팬츠,액자포스터,목걸이펜던트,레더라이더스 재킷,캔버스단화,니트스웨터,캡야구 모자,,,,,,,
3,스트릿,가을,스트릿,제로,쇼브오프,라퍼지스토어,크리틱,트레이닝조거 팬츠,액자포스터,팔찌,메신저크로스 백,니트스웨터,,,,,,,,,,,
6,스트릿,겨울,스트릿,제로,디스이즈네버댓,아이더,어글리비버,일일이삼육오,트레이닝조거 팬츠,액자포스터,맨투맨스웨트셔츠,패션스니커즈화,버킷사파리햇,,,,,,,,,,
82,스트릿,가을,캐주얼,컨버스,폴로 랄프 로렌,리,앤더슨벨,홀리선,캔버스단화,캡야구 모자,에코백,잡지무크지,트러커 재킷,,,,,,,,,,
