,0,코디,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
88,20210721,캐주얼,14182,8,편안한,캠퍼스,원마일웨어,로고플레이,여름,캐주얼,엠엠엘지,제로,캉골,칼하트,나이키,캡야구 모자,트레이닝조거 팬츠,백팩,반소매 티셔츠,패션스니커즈화,,,,,,,,
89,20210325,캐주얼,13993,봄,캐주얼,네이키드니스,페플,반스,낫포너드,커버낫,메신저크로스 백,기타 컬처,트러커 재킷,비니,캔버스단화,트레이닝조거 팬츠,안경 소품,맨투맨스웨트셔츠,,,,,,,,,,
90,20211022,댄디,13982,1,키높이,워싱,레더,모노톤,SELFLOVE,셀럽템,가을,캐주얼,파르티멘토,컨버스,레더라이더스 재킷,숏패딩숏헤비 아우터,셔츠블라우스,캔버스단화,데님 팬츠,,,,,,,,,
91,20201217,캐주얼,13954,1,겨울,댄디,드로우핏,피스메이커,버빌리안,위더로드,브랜디드,오드닷,겨울 싱글 코트,디지털,페도라,머플러,숄더백,구두,데님 팬츠,니트스웨터,,,,,,,,
92,20210921,캐주얼,13872,아가일,레이어드룩,캠퍼스,남친룩,꾸안꾸,로고플레이,와이드핏,가을,캐주얼,척,토피,컨버스,카시오,엠엠엘지,키뮤어,베스트,후드 집업,데님 팬츠,캔버스단화,디지털,백팩,,,,
93,20220413,댄디,13831,미니멀,데이트,남친룩,오버핏,핀턱,와이드핏,봄,댄디,데몬에이드,듀파,해브해드,위트맨,라퍼지스토어,숄더백,쿼츠 아날로그,코튼 팬츠,캔버스단화,셔츠블라우스,,,,,,,
94,20211123,캐주얼,13799,1,캠퍼스,레더,와이드핏,꾸안꾸,오버핏,콜라보,가을,캐주얼,컨버스,매스노운,마하그리드,라퍼지스토어,플랙,토마스모어,메신저크로스 백,캡야구 모자,맨투맨스웨트셔츠,데님 팬츠,숏패딩숏헤비 아우터,,,,,
95,20210702,댄디,13695,42,톤온톤,뉴트럴톤,캠퍼스,피크닉,와이드핏,오버핏,꾸안꾸,여름,캐주얼,벗딥,엠엠엘지,캐치볼,예일,반원 아틀리에,토트백,잡지무크지,캡야구 모자,캔버스단화,반소매 티셔츠,,,,,
96,20211110,댄디,13642,편안한,원마일웨어,로고플레이,한파,가을,캐주얼,골라 클래식,예일,로마네,브라운브레스,노스페이스,오닐,후드 티셔츠,케이스슬리브,트레이닝조거 팬츠,숏패딩숏헤비 아우터,메신저크로스 백,,,,,,,,
97,20201207,댄디,13627,겨울,캐주얼,아식스,크럼프,예일,아웃스탠딩,패션스니커즈화,트레이닝조거 팬츠,캡야구 모자,숏패딩숏헤비 아우터,,,,,,,,,,,,,,,
98,20220328,캐주얼,13498,1,모노톤,데이트,레더,에코,셀럽템,오버핏,와이드핏,핀턱,봄,댄디,라퍼지스토어,레더라이더스 재킷,셔츠블라우스,구두,,,,,,,,,,
99,20201103,댄디,13293,2,가을,캐주얼,기프트오리지널,라퍼지스토어,유니폼브릿지,컨버스,그라미치,반소매 티셔츠,셔츠블라우스,숏패딩숏헤비 아우터,맨투맨스웨트셔츠,스카프반다나,,,,,,,,,,,,
100,20210308,댄디,13187,8,봄,포멀,모디파이드,엘무드,조셉트,로우로우,에스피오나지,슈트블레이저 재킷,기타 시계,반소매 티셔츠,니트스웨터,구두,안경,셔츠블라우스,,,,,,,,,,
101,20201113,댄디,12950,가을,캐주얼,폴로 랄프 로렌,메이킷투,나이키,이벳필드,코닥,캡야구 모자,데님 팬츠,패션스니커즈화,니트스웨터,,,,,,,,,,,,,,
102,20211019,캐주얼,12900,캠퍼스,꾸안꾸,남친룩,가을,캐주얼,리끌로우,반스,엄브로,세터,예일,안경,캔버스단화,메신저크로스 백,니트스웨터,숏패딩숏헤비 아우터,,,,,,,,,,
103,20201112,댄디,12893,1,그래픽,가을,캐주얼,커버낫,로얄라이프,예일,컨버스,예스아이씨,노드 아카이브,플리스뽀글이,기타 시계,버킷사파리햇,데님 팬츠,안경 소품,맨투맨스웨트셔츠,비니,후드 티셔츠,,,,,,,
104,20201027,캐주얼,12699,2,가을,캐주얼,제로,에스피오나지,앤더슨벨,유니폼브릿지,디스커버리 익스페디션,트레이닝조거 팬츠,액자포스터,반소매 티셔츠,셔츠블라우스,백팩,기타 컬처,사파리헌팅 재킷,,,,,,,,,,
105,20210716,캐주얼,12636,4,미니멀,남친룩,데이트,레더,여름,댄디,페이탈리즘,몬스터리퍼블릭,로스트가든,블론드나인,브렌슨,데님 팬츠,안경 소품,메신저크로스 백,안경,구두,베스트,반소매 티셔츠,,,,,,
106,20220825,캐주얼,12509,3,로고플레이,자수,캠퍼스,꾸안꾸,여름,캐주얼,네이키드니스,반스,사운즈라이프,신지모루,예일,백팩,캔버스단화,데님 팬츠,시계 용품,맨투맨스웨트셔츠,,,,,,,,
107,20201111,캐주얼,12496,1,셋업코디,가을,캐주얼,비바스튜디오,폴로 랄프 로렌,엄브로,코드그라피,삭스더랭귀지,반소매 티셔츠,맨투맨스웨트셔츠,캡야구 모자,아노락 재킷,양말,,,,,,,,,,,
108,20211004,캐주얼,12454,핀턱,와이드핏,출근룩,단정한,미니멀,레더,가을,포멀,로맨틱무브,테이크이지,미나브,드로우핏,하이드아웃,구두,니트스웨터,슈트 팬츠슬랙스,토트백,겨울 싱글 코트,,,,,,,
